"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\models_utils.dart", "Dart", 14, 0, 4, 18
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\other_utils.dart", "Dart", 17, 8, 3, 28
"c:\Users\james\Desktop\Flutter\topup2p\lib\utilities\profile_image.dart", "Dart", 18, 0, 3, 21
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\allwidgets.dart", "Dart", 5, 0, 0, 5
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\appbar.dart", "Dart", 66, 0, 4, 70
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\loginbutton.dart", "Dart", 32, 1, 3, 36
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\logobutton.dart", "Dart", 23, 1, 2, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\messagebutton.dart", "Dart", 58, 0, 2, 60
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\profilebutton.dart", "Dart", 23, 0, 3, 26
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\searchbutton.dart", "Dart", 80, 0, 8, 88
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\appbar\signoutbutton.dart", "Dart", 58, 0, 3, 61
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\custom_divider.dart", "Dart", 28, 0, 2, 30
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_icon.dart", "Dart", 63, 0, 6, 69
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\favorite_placeholder.dart", "Dart", 12, 0, 2, 14
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\headline6.dart", "Dart", 17, 2, 4, 23
"c:\Users\james\Desktop\Flutter\topup2p\lib\widgets\loading_screen.dart", "Dart", 60, 7, 12, 79
"Total", "-", 2433, -50, 21, 2404
